city,Cloudiness,country,Date,Humidity,lat,lon,Max Temp,Wind Speed
moose factory,75.0,ca,2018-03-02 06:00:00,91.0,51.90,-80.97,-7.61,3.36
punta arenas,75.0,cl,2018-03-02 06:00:00,71.0,-69.76,-96.62,53.6,17.22
cabo san lucas,5.0,mx,2018-03-02 05:46:00,59.0,8.64,-116.93,60.8,5.82
george,20.0,za,2018-03-02 06:00:00,94.0,-35.91,21.65,77,2.24
hilo,90.0,us,2018-03-02 06:02:00,88.0,5.73,-152.87,69.8,8.05
lorengau,8.0,pg,2018-03-02 06:41:35,99.0,0.80,149.15,84.67,5.55
georgetown,76.0,sh,2018-03-02 06:41:37,87.0,-2.82,-14.61,73.06,3.65
qasigiannguit,12.0,gl,2018-03-02 05:50:00,92.0,67.26,-49.62,26.6,3.36
maltahohe,0.0,na,2018-03-02 06:41:37,75.0,-24.95,17.00,63.65,4.09
karasburg,0.0,na,2018-03-02 06:41:38,46.0,-27.14,19.42,62.98,3.2
busselton,0.0,au,2018-03-02 06:36:37,93.0,-35.67,96.90,71.3,16.62
cape town,0.0,za,2018-03-02 06:00:00,56.0,-58.38,-9.91,69.8,6.93
beringovskiy,68.0,ru,2018-03-02 06:39:30,91.0,56.84,177.66,30.8,21.88
bereda,0.0,so,2018-03-02 06:30:00,100.0,12.90,54.07,33.8,5.82
alice springs,0.0,au,2018-03-02 06:30:00,9.0,-26.00,138.58,100.4,12.75
srednekolymsk,56.0,ru,2018-03-02 06:41:39,60.0,71.82,153.58,-7.09,6.44
isangel,64.0,vu,2018-03-02 06:41:40,100.0,-19.17,179.76,82.28,7
albany,90.0,au,2018-03-02 06:19:00,86.0,-82.44,95.20,39.2,9.17
isangel,64.0,vu,2018-03-02 06:41:40,100.0,-17.77,177.78,82.28,7
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-85.29,-65.87,48.2,25.28
tura,0.0,ru,2018-03-02 06:41:40,72.0,64.50,100.27,74.81,5.1
byron bay,76.0,au,2018-03-02 06:41:41,100.0,-26.99,159.61,75.26,10.69
lebu,48.0,cl,2018-03-02 06:37:21,68.0,-36.68,-98.81,59.38,3.87
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-79.61,-83.43,48.2,25.28
gourdon,92.0,gb,2018-03-02 06:30:00,87.0,56.78,-2.18,44.6,10.29
yumen,0.0,cn,2018-03-02 06:41:42,62.0,41.47,96.57,52.94,13.49
severo-kurilsk,92.0,ru,2018-03-02 06:40:20,100.0,49.02,155.92,29.99,35.19
hermanus,56.0,za,2018-03-02 06:32:39,87.0,-50.87,13.51,62.03,8.46
cape town,0.0,za,2018-03-02 06:00:00,56.0,-55.50,-16.13,69.8,6.93
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-86.34,-88.92,48.2,25.28
hobart,40.0,au,2018-03-02 06:00:00,56.0,-71.77,142.07,69.8,10.29
juba,76.0,sd,2018-03-02 05:50:00,72.0,5.14,31.01,10.4,10.29
rocha,0.0,uy,2018-03-02 06:42:44,94.0,-47.14,-43.65,60.41,2.98
castro,44.0,cl,2018-03-02 06:39:19,100.0,-44.13,-91.84,47.77,2.98
kapaa,90.0,us,2018-03-02 05:56:00,88.0,22.93,-166.60,73.4,19.46
arraial do cabo,8.0,br,2018-03-02 06:42:45,98.0,-46.33,-19.77,76.88,9.69
mataura,68.0,pf,2018-03-02 06:37:59,75.0,-69.70,-159.81,71.03,9.46
puro,44.0,ph,2018-03-02 06:42:46,87.0,18.68,117.26,80.53,3.98
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-56.76,-54.82,48.2,25.28
hermanus,56.0,za,2018-03-02 06:32:39,87.0,-74.71,-4.73,62.03,8.46
albany,90.0,au,2018-03-02 06:19:00,86.0,-34.59,118.00,39.2,9.17
cape town,0.0,za,2018-03-02 06:00:00,56.0,-53.13,-6.16,69.8,6.93
rio brilhante,12.0,br,2018-03-02 06:42:47,91.0,-21.78,-54.50,71.66,1.63
rikitea,92.0,pf,2018-03-02 06:36:38,100.0,-59.83,-139.91,80.89,18.86
fukue,20.0,jp,2018-03-02 06:00:00,96.0,34.08,128.14,50,20.8
hobart,40.0,au,2018-03-02 06:00:00,56.0,-72.92,142.86,69.8,10.29
khatanga,20.0,ru,2018-03-02 06:32:54,77.0,72.81,97.54,-12.09,8.9
thompson,90.0,ca,2018-03-02 06:00:00,78.0,62.76,-89.86,17.6,8.05
pacific grove,75.0,us,2018-03-02 05:55:00,71.0,27.91,-133.43,53.6,12.75
ban nahin,0.0,la,2018-03-02 06:42:49,51.0,18.86,104.54,89.89,3.09
punta arenas,75.0,cl,2018-03-02 06:00:00,71.0,-62.69,-110.70,53.6,17.22
grand-santi,64.0,gf,2018-03-02 06:42:49,96.0,1.62,-56.22,73.64,2.75
katsuura,0.0,jp,2018-03-02 06:00:00,40.0,22.72,153.91,51.8,9.17
jamestown,44.0,sh,2018-03-02 06:39:09,66.0,-51.03,-16.97,77.02,1.74
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-58.27,-53.74,48.2,25.28
kapaa,90.0,us,2018-03-02 05:56:00,88.0,15.45,-173.70,73.4,19.46
atuona,64.0,pf,2018-03-02 06:36:30,97.0,-4.39,-133.39,82.01,18.07
new norfolk,40.0,au,2018-03-02 06:00:00,56.0,-70.40,126.02,69.8,10.29
torbay,90.0,ca,2018-03-02 06:38:00,93.0,39.59,-48.15,33.8,8.05
krasnomayskiy,75.0,ru,2018-03-02 06:00:00,70.0,57.77,34.31,-0.41,11.18
jamestown,44.0,sh,2018-03-02 06:39:09,66.0,-37.25,-9.60,77.02,1.74
vostok,68.0,ru,2018-03-02 06:42:52,61.0,50.50,149.36,12.94,7.67
pisco,0.0,pe,2018-03-02 06:00:00,77.0,-14.22,-76.36,69.8,14.99
klaksvik,80.0,fo,2018-03-02 06:20:00,100.0,70.13,-3.20,32,4.7
chapais,90.0,ca,2018-03-02 06:00:00,79.0,54.16,-73.05,24.8,6.93
gazojak,48.0,tm,2018-03-02 06:42:53,99.0,41.23,62.38,36.79,10.25
tuatapere,48.0,nz,2018-03-02 06:41:32,88.0,-47.05,162.46,66.49,4.76
ontario,20.0,us,2018-03-02 06:00:00,66.0,43.91,-117.19,55.4,8.05
saint george,75.0,bm,2018-03-02 06:20:00,75.0,27.51,-56.13,42.8,4.7
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-61.91,-63.77,48.2,25.28
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-84.85,-66.94,48.2,25.28
sioux lookout,5.0,ca,2018-03-02 06:00:00,92.0,52.92,-92.57,24.8,2.24
ahipara,92.0,nz,2018-03-02 06:42:55,97.0,-29.45,170.72,69.64,16.84
avdon,0.0,ru,2018-03-02 05:50:00,82.0,54.32,55.68,55.4,2.24
kushima,75.0,jp,2018-03-02 06:00:00,66.0,28.56,134.12,55.4,5.82
havelock,1.0,us,2018-03-02 05:58:00,82.0,33.57,-75.78,62.6,12.75
